Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,12.677234,0,60.0,1685765,25.7604,0.0,1,12.677234,0,25.7604,SAT,,35.83,
2,1,1,9.979608,0,60.0,1349575,19.8689,0.0,1,9.979608,1,45.6293,SAT,,27.103,
3,2,1,11.646959,0,60.0,1685765,22.5473,0.0,1,11.646959,1,68.17660000000001,SAT,,34.812,
4,1,1,12.129274,0,60.0,11634361,23.2375,0.0,1,12.129274,1,91.4141,SAT,,30.621,
5,3,1,10.826862,0,60.0,1685765,21.2602,0.0,1,10.826862,1,112.6743,SAT,,28.472,
6,3,1,9.464526,0,60.0,1349575,20.4426,0.0,1,9.464526,1,133.1169,SAT,,27.563,
7,3,1,10.232083,0,60.0,11634361,21.3682,0.0,1,10.232083,1,154.4851,SAT,,28.625,
8,3,1,9.124226,0,60.0,4788928,19.1716,0.0,1,9.124226,2,173.6567,SAT,,26.06,
9,4,1,8.614263,0,60.0,1349575,18.0126,0.0,1,8.614263,2,191.6693,SAT,,24.651,
10,4,1,9.699541,0,60.0,4788928,19.548,0.0,1,9.699541,2,211.2173,SAT,,26.47,
11,4,1,10.577761,0,60.0,1685765,21.8909,0.0,1,10.577761,2,233.10819999999998,SAT,,36.075,
