Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,10.419767,0,60.0,7651328,21.0381,0.0,1,10.419767,0,21.0381,SAT,,30.071,
2,1,6,8.966093,0,60.0,12318549,17.9567,0.0,1,8.966093,1,38.9948,SAT,,24.821,
3,2,5,10.476113,0,60.0,7651328,20.7665,0.0,1,10.476113,1,59.7613,SAT,,27.659,
4,1,3,5.000888,0,60.0,5574276,11.3333,0.0,1,5.000888,1,71.0946,SAT,,17.838,
5,3,6,8.977444,0,60.0,12318549,17.9128,0.0,1,8.977444,1,89.0074,SAT,,24.655,
6,1,1,9.555405,0,60.0,15828581,19.4632,0.0,1,9.555405,2,108.4706,SAT,,26.271,
7,4,3,5.123121,0,60.0,5574276,11.3127,0.0,1,5.123121,2,119.7833,SAT,,17.918,
8,1,10,9.29624,0,60.0,14406056,18.8576,0.0,1,9.29624,2,138.6409,SAT,,25.632,
9,5,1,9.881082,0,60.0,15828581,19.6889,0.0,1,9.881082,2,158.32979999999998,SAT,,26.566,
10,1,8,10.955136,0,60.0,9121941,21.3885,0.0,1,10.955136,3,179.71829999999997,SAT,,28.284,
11,6,5,10.482364,0,60.0,7651328,20.7107,0.0,1,10.482364,3,200.42899999999997,SAT,,27.711,
12,1,7,8.773762,0,60.0,1207275,18.0229,0.0,1,8.773762,3,218.45189999999997,SAT,,24.777,
13,7,8,10.90288,0,60.0,9121941,21.195,0.0,1,10.90288,3,239.64689999999996,SAT,,28.149,
14,7,1,9.579735,0,60.0,15828581,19.524,0.0,1,9.579735,3,259.17089999999996,SAT,,26.376,
15,7,6,8.954436,0,60.0,12318549,17.7544,0.0,1,8.954436,3,276.92529999999994,SAT,,24.597,
16,7,10,9.115558,0,60.0,14406056,18.8053,0.0,1,9.115558,3,295.7305999999999,SAT,,25.705,
17,7,5,10.156875,0,60.0,7651328,20.3329,0.0,1,10.156875,3,316.0634999999999,SAT,,27.159,
18,7,7,8.632702,0,60.0,1207275,17.8355,0.0,1,8.632702,3,333.89899999999994,SAT,,24.713,
19,7,3,5.084528,0,60.0,5574276,11.2777,0.0,1,5.084528,3,345.1766999999999,SAT,,17.776,
20,7,11,6.723523,0,60.0,14860458,14.2976,0.0,1,6.723523,4,359.4742999999999,SAT,,20.933,
