Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-1.0,0,60.0,3637058,1.04364,0.0,1,-1.0,0,1.04364,SAT,,9.38,
2,1,1,-0.9666666666666667,0,60.0,6837051,0.960931,0.0,1,-0.9666666666666667,1,2.004571,SAT,,7.741,
3,2,1,-0.16666666666666666,0,60.0,6837051,1.23609,0.0,1,-0.16666666666666666,1,3.240661,SAT,,7.602,
4,1,1,-0.9333333333333333,0,60.0,16006466,0.936673,0.0,1,-0.9333333333333333,1,4.177334,SAT,,7.269,
5,3,1,1.0E9,0,60.0,6837051,0.0,0.0,-1,1.0E9,1,4.177334,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.334,
6,1,1,-1.0,0,60.0,6759246,0.941042,0.0,1,-1.0,2,5.1183760000000005,SAT,,7.319,
7,4,1,1.0E9,0,60.0,16006466,0.0,0.0,-1,1.0E9,2,5.1183760000000005,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.277,
8,1,1,-0.9,0,60.0,821802,0.934913,0.0,1,-0.9,2,6.053289,SAT,,7.288,
9,5,1,1.0E9,0,60.0,16006466,0.0,0.0,-1,1.0E9,2,6.053289,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.287,
10,1,1,-0.9666666666666667,0,60.0,15860532,0.930655,0.0,1,-0.9666666666666667,3,6.983944,SAT,,7.652,
11,6,1,1.0E9,0,60.0,821802,0.0,0.0,-1,1.0E9,3,6.983944,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.299,
12,1,1,-0.9333333333333333,0,60.0,2866161,0.932736,0.0,1,-0.9333333333333333,3,7.91668,SAT,,7.277,
13,7,1,1.0E9,0,60.0,15860532,0.0,0.0,-1,1.0E9,3,7.91668,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.306,
14,1,1,-0.9333333333333333,0,60.0,7359326,0.966913,0.0,1,-0.9333333333333333,4,8.883593000000001,SAT,,7.328,
15,8,1,-0.7,0,60.0,2866161,0.87167,0.0,1,-0.7,4,9.755263000000001,SAT,,7.182,
16,1,1,-0.9333333333333333,0,60.0,3874259,0.946897,0.0,1,-0.9333333333333333,4,10.702160000000001,SAT,,7.285,
17,9,1,-0.3,0,60.0,6759246,0.938183,0.0,1,-0.3,4,11.640343000000001,SAT,,7.285,
18,1,1,-0.9666666666666667,0,60.0,9212591,0.944545,0.0,1,-0.9666666666666667,5,12.584888000000001,SAT,,7.47,
19,10,1,-0.9333333333333333,0,60.0,7359326,0.981218,0.0,1,-0.9333333333333333,5,13.566106000000001,SAT,,7.275,
20,1,1,-0.9666666666666667,0,60.0,4574511,0.944081,0.0,1,-0.9666666666666667,5,14.510187000000002,SAT,,7.298,
21,11,1,1.0E9,0,60.0,4574511,0.0,0.0,-1,1.0E9,5,14.510187000000002,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.289,
22,1,1,-0.9,0,60.0,9713517,0.941317,0.0,1,-0.9,6,15.451504000000002,SAT,,7.296,
23,12,1,-0.5,0,60.0,7359326,0.933364,0.0,1,-0.5,6,16.384868,SAT,,7.273,
24,1,1,-0.9666666666666667,0,60.0,11154040,0.940843,0.0,1,-0.9666666666666667,6,17.325711000000002,SAT,,7.282,
25,13,1,1.0E9,0,60.0,7359326,0.0,0.0,-1,1.0E9,6,17.325711000000002,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.249,
26,1,1,-1.0,0,60.0,3112298,0.934626,0.0,1,-1.0,7,18.260337000000003,SAT,,7.272,
27,14,1,-0.9333333333333333,0,60.0,9713517,0.936839,0.0,1,-0.9333333333333333,7,19.197176000000002,SAT,,7.25,
28,1,1,-0.9,0,60.0,9458340,0.939292,0.0,1,-0.9,7,20.136468,SAT,,7.28,
29,15,1,-0.7666666666666667,0,60.0,3637058,1.13748,0.0,1,-0.7666666666666667,7,21.273948,SAT,,7.47,
30,1,1,-0.9666666666666667,0,60.0,5695531,0.942844,0.0,1,-0.9666666666666667,8,22.216792,SAT,,7.396,
31,16,1,1.0E9,0,60.0,11154040,0.0,0.0,-1,1.0E9,8,22.216792,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.269,
32,1,1,-0.9666666666666667,0,60.0,9631246,0.935794,0.0,1,-0.9666666666666667,8,23.152586000000003,SAT,,7.264,
33,17,1,1.0E9,0,60.0,3874259,0.0,0.0,-1,1.0E9,8,23.152586000000003,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.24,
34,1,1,-0.9333333333333333,0,60.0,12877218,0.946789,0.0,1,-0.9333333333333333,9,24.099375000000002,SAT,,7.281,
35,18,1,-0.2,0,60.0,15860532,1.20519,0.0,1,-0.2,9,25.304565000000004,SAT,,7.471,
36,1,1,-0.9,0,60.0,2555176,0.93443,0.0,1,-0.9,9,26.238995000000003,SAT,,7.264,
37,19,1,1.0E9,0,60.0,9212591,0.0,0.0,-1,1.0E9,9,26.238995000000003,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.427,
38,1,1,-0.9666666666666667,0,60.0,11945706,0.947476,0.0,1,-0.9666666666666667,10,27.186471000000004,SAT,,7.251,
39,20,1,1.0E9,0,60.0,3637058,0.0,0.0,-1,1.0E9,10,27.186471000000004,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.268,
40,1,1,-0.9333333333333333,0,60.0,11409664,0.948836,0.0,1,-0.9333333333333333,10,28.135307000000005,SAT,,7.241,
41,21,1,1.0E9,0,60.0,9458340,0.0,0.0,-1,1.0E9,10,28.135307000000005,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.224,
42,1,1,-0.9,0,60.0,10468554,0.934864,0.0,1,-0.9,11,29.070171000000006,SAT,,7.249,
43,22,1,-0.9666666666666667,0,60.0,11154040,1.12103,0.0,1,-0.9666666666666667,11,30.191201000000007,SAT,,7.452,
44,22,1,-0.8666666666666667,0,60.0,6837051,1.12076,0.0,1,-0.8666666666666667,11,31.311961000000007,SAT,,7.358,
45,22,1,-0.9666666666666667,0,60.0,821802,1.12817,0.0,1,-0.9666666666666667,11,32.44013100000001,SAT,,7.362,
46,1,1,-1.0,0,60.0,1381988,0.922779,0.0,1,-1.0,11,33.36291000000001,SAT,,7.166,
47,23,1,1.0E9,0,60.0,2866161,0.0,0.0,-1,1.0E9,11,33.36291000000001,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.238,
48,1,1,-0.9666666666666667,0,60.0,456815,0.939512,0.0,1,-0.9666666666666667,12,34.30242200000001,SAT,,7.269,
49,24,1,-0.16666666666666666,0,60.0,6837051,0.874767,0.0,1,-0.16666666666666666,12,35.177189000000006,SAT,,7.133,
50,1,1,-1.0,0,60.0,12664731,0.945627,0.0,1,-1.0,12,36.12281600000001,SAT,,7.261,
51,25,1,1.0E9,0,60.0,11409664,0.0,0.0,-1,1.0E9,12,36.12281600000001,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.255,
52,1,1,-1.0,0,60.0,3439156,0.941623,0.0,1,-1.0,13,37.06443900000001,SAT,,7.263,
53,26,1,-1.0,0,60.0,3112298,0.932308,0.0,1,-1.0,13,37.996747000000006,SAT,,7.161,
54,26,1,-0.9,0,60.0,821802,0.935991,0.0,1,-0.9,13,38.93273800000001,SAT,,7.243,
55,26,1,-0.9666666666666667,0,60.0,11945706,0.997571,0.0,1,-0.9666666666666667,13,39.93030900000001,SAT,,7.644,
56,26,1,-0.9333333333333333,0,60.0,3874259,0.934391,0.0,1,-0.9333333333333333,13,40.864700000000006,SAT,,7.242,
57,26,1,-0.9666666666666667,0,60.0,4574511,0.94307,0.0,1,-0.9666666666666667,13,41.807770000000005,SAT,,7.234,
58,26,1,-1.0,0,60.0,12664731,0.932043,0.0,1,-1.0,13,42.739813000000005,SAT,,7.231,
59,26,1,-1.0,0,60.0,6759246,0.927327,0.0,1,-1.0,13,43.66714,SAT,,7.109,
60,26,1,-0.9333333333333333,0,60.0,11409664,0.931916,0.0,1,-0.9333333333333333,13,44.599056000000004,SAT,,7.152,
61,26,1,-0.9333333333333333,0,60.0,7359326,0.915417,0.0,1,-0.9333333333333333,13,45.514473,SAT,,7.108,
62,26,1,-1.0,0,60.0,3637058,0.907892,0.0,1,-1.0,13,46.422365,SAT,,7.086,
63,26,1,-0.9666666666666667,0,60.0,15860532,0.912586,0.0,1,-0.9666666666666667,13,47.334951,SAT,,7.119,
64,26,1,-0.9,0,60.0,9458340,0.932339,0.0,1,-0.9,13,48.267289999999996,SAT,,7.268,
65,26,1,-0.9666666666666667,0,60.0,11154040,0.939823,0.0,1,-0.9666666666666667,13,49.20711299999999,SAT,,7.261,
66,26,1,-0.9,0,60.0,2866161,0.91775,0.0,1,-0.9,13,50.12486299999999,SAT,,7.095,
67,26,1,-0.9666666666666667,0,60.0,456815,0.93613,0.0,1,-0.9666666666666667,13,51.06099299999999,SAT,,7.295,
68,26,1,-1.0,0,60.0,1381988,0.934002,0.0,1,-1.0,13,51.99499499999999,SAT,,7.265,
69,26,1,-0.9666666666666667,0,60.0,9212591,0.939164,0.0,1,-0.9666666666666667,13,52.93415899999999,SAT,,7.173,
70,26,1,-0.9333333333333333,0,60.0,10468554,0.954947,0.0,1,-0.9333333333333333,13,53.889105999999984,SAT,,7.255,
71,26,1,-0.9333333333333333,0,60.0,16006466,0.941449,0.0,1,-0.9333333333333333,13,54.83055499999998,SAT,,7.274,
72,26,1,-0.9666666666666667,0,60.0,5695531,0.938702,0.0,1,-0.9666666666666667,13,55.76925699999998,SAT,,7.246,
73,26,1,-0.9,0,60.0,2555176,0.946976,0.0,1,-0.9,13,56.71623299999998,SAT,,7.241,
74,26,1,-0.9333333333333333,0,60.0,12877218,0.925523,0.0,1,-0.9333333333333333,13,57.64175599999998,SAT,,7.144,
75,26,1,-1.0,0,60.0,3439156,0.953467,0.0,1,-1.0,13,58.59522299999998,SAT,,7.231,
76,26,1,-0.9666666666666667,0,60.0,6837051,0.936843,0.0,1,-0.9666666666666667,13,59.532065999999986,SAT,,7.218,
77,26,1,-0.9333333333333333,0,60.0,9631246,0.942634,0.0,1,-0.9333333333333333,13,60.474699999999984,SAT,,7.236,
78,26,1,-0.9,0,60.0,9713517,0.929977,0.0,1,-0.9,13,61.404676999999985,SAT,,7.241,
79,1,1,-0.9666666666666667,0,60.0,4498741,0.918662,0.0,1,-0.9666666666666667,13,62.32333899999998,SAT,,7.113,
80,27,1,1.0E9,0,60.0,821802,0.0,0.0,-1,1.0E9,13,62.32333899999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,7.235,
81,1,1,-1.0,0,60.0,658125,0.932174,0.0,1,-1.0,14,63.255512999999986,SAT,,7.259,
