,Station,Start,End,Elevations,Key Volume
0,Station1,2025-02-12T10:16:40Z,2025-02-12T10:21:40Z,"(np.float64(20.119252735659952), np.float64(20.921607319226336), np.float64(21.714489070360766), np.float64(22.493001047562238), np.float64(23.251600851122035), np.float64(23.984115822825434), np.float64(24.683791411557042), np.float64(25.343379668320363), np.float64(25.955273358723225), np.float64(26.5116883728729), np.float64(27.004892871919424), np.float64(27.42747610912357), np.float64(27.772643639753014), np.float64(28.034519613079276), np.float64(28.20843223039868), np.float64(28.291156502241165), np.float64(28.28109007813738), np.float64(28.178343419996757), np.float64(27.984734335261034), np.float64(27.7036874465892), np.float64(27.340049632133777), np.float64(26.899840932655405), np.float64(26.389965530777623), np.float64(25.817908646023803), np.float64(25.19144290530827), np.float64(24.518362924914875), np.float64(23.80626073558713), np.float64(23.06234848741586), np.float64(22.29332947372618), np.float64(21.505314412329618), np.float64(20.703777257371488))",197821.92366060088
1,Station1,2025-02-12T11:56:50Z,2025-02-12T12:04:30Z,"(np.float64(20.973623684643027), np.float64(22.333327266819424), np.float64(23.768010899887923), np.float64(25.284879209902197), np.float64(26.89189230695753), np.float64(28.597816719960598), np.float64(30.412261125352504), np.float64(32.34568498422029), np.float64(34.40936251681699), np.float64(36.61527647749298), np.float64(38.97590517206878), np.float64(41.503851053246095), np.float64(44.21123853222025), np.float64(47.10877968156664), np.float64(50.20436341403087), np.float64(53.50095172691756), np.float64(56.993426330272214), np.float64(60.66371385203746), np.float64(64.47273829449297), np.float64(68.3457249280249), np.float64(72.14216057679835), np.float64(75.59049741737105), np.float64(78.1680180463849), np.float64(79.08361326501954), np.float64(77.90935628451088), np.float64(75.17474073583942), np.float64(71.65305190738022), np.float64(67.82760941754191), np.float64(63.94789268015334), np.float64(60.14377320037925), np.float64(56.48461977416549), np.float64(53.006518757815144), np.float64(49.72577644919995), np.float64(46.64642926758289), np.float64(43.76485003648122), np.float64(41.0727514122295), np.float64(38.559197808837745), np.float64(36.21195640776861), np.float64(34.0183911973778), np.float64(31.966037731756018), np.float64(30.04295586312945), np.float64(28.237930132287232), np.float64(26.540567634893577), np.float64(24.94132862254593), np.float64(23.431514456747827), np.float64(22.00322983966497), np.float64(20.649330754407146))",935141.1930018789
2,Station1,2025-02-12T13:38:50Z,2025-02-12T13:43:00Z,"(np.float64(20.69232635139872), np.float64(21.37387074360923), np.float64(22.02730981456702), np.float64(22.64671313670731), np.float64(23.22584018342792), np.float64(23.7582685451574), np.float64(24.23755631943802), np.float64(24.657435004419003), np.float64(25.012025263371754), np.float64(25.296063878298092), np.float64(25.50512674042756), np.float64(25.635830584720676), np.float64(25.68599602445338), np.float64(25.654756655581398), np.float64(25.54260350715797), np.float64(25.3513603442593), np.float64(25.084092306863933), np.float64(24.744956932242193), np.float64(24.33901170169306), np.float64(23.871995168661442), np.float64(23.35009924610081), np.float64(22.77974861238628), np.float64(22.167400034423704), np.float64(21.519370447442967), np.float64(20.841698579637065), np.float64(20.14004130922263))",143723.10562671008
3,Station1,2025-02-12T20:14:00Z,2025-02-12T20:19:10Z,"(np.float64(20.584594019889796), np.float64(21.461232524532655), np.float64(22.331517711554138), np.float64(23.190050445497487), np.float64(24.030597422097713), np.float64(24.846086230022095), np.float64(25.628641804379285), np.float64(26.36967562179839), np.float64(27.060037675314465), np.float64(27.690237868400047), np.float64(28.250737615874492), np.float64(28.732304189374318), np.float64(29.12641039556783), np.float64(29.425651990554282), np.float64(29.62414692791815), np.float64(29.717876448886855), np.float64(29.704930021687357), np.float64(29.58562487302483), np.float64(29.362485282155443), np.float64(29.040084264286666), np.float64(28.624767180636667), np.float64(28.124289769189467), np.float64(27.547409862536256), np.float64(26.90347212400279), np.float64(26.202019570674477), np.float64(25.45245655207907), np.float64(24.663777549467802), np.float64(23.844366604266654), np.float64(23.001864609725732), np.float64(22.143096596185853), np.float64(21.274048411469185), np.float64(20.399881400028818))",219976.88442990178
4,Station1,2025-02-12T21:53:00Z,2025-02-12T22:00:50Z,"(np.float64(20.118757894077934), np.float64(21.447690935581008), np.float64(22.84921331013608), np.float64(24.3304099821188), np.float64(25.899157677979844), np.float64(27.564200062812127), np.float64(29.33521875212332), np.float64(31.2228929598581), np.float64(33.23893686949454), np.float64(35.396098681722584), np.float64(37.70809841434249), np.float64(40.189472674061804), np.float64(42.85528383211776), np.float64(45.7206389179153), np.float64(48.79995157488221), np.float64(52.10587097226662), np.float64(55.647796551496924), np.float64(59.42989231272402), np.float64(63.448476710467965), np.float64(67.68845848099616), np.float64(72.11756228706328), np.float64(76.67280507939513), np.float64(81.20899866684363), np.float64(85.16715093524449), np.float64(85.70964233292565), np.float64(82.08556647110471), np.float64(77.59593807584672), np.float64(73.03520785865085), np.float64(68.58310248309132), np.float64(64.31187137642242), np.float64(60.25789680389493), np.float64(56.43870591539019), np.float64(52.85959862743448), np.float64(49.51749984664919), np.float64(46.403713121058665), np.float64(43.50600501257072), np.float64(40.81016800726442), np.float64(38.30115373080619), np.float64(35.96385941528499), np.float64(33.78364540913996), np.float64(31.746652384931178), np.float64(29.839975011923325), np.float64(28.051736575845702), np.float64(26.3710979394231), np.float64(24.788225047330428), np.float64(23.294231992055796), np.float64(21.881111265406833), np.float64(20.54165890268812))",965898.5863227537
5,Station1,2025-02-12T23:36:50Z,2025-02-12T23:40:10Z,"(np.float64(20.145130922279204), np.float64(20.67175815319107), np.float64(21.162393704174477), np.float64(21.612353395660833), np.float64(22.01701361183864), np.float64(22.371935717704154), np.float64(22.67300002661833), np.float64(22.916542600279534), np.float64(23.09948679543448), np.float64(23.219460772013445), np.float64(23.274892368027015), np.float64(23.26507393200792), np.float64(23.190191826471636), np.float64(23.05131814561821), np.float64(22.850365358803895), np.float64(22.59000765951658), np.float64(22.273575350519476), np.float64(21.904930316843547), np.float64(21.488331374871017), np.float64(21.028298058004623), np.float64(20.52948037041619))",99912.32301144331
6,Station2,2025-02-12T10:17:00Z,2025-02-12T10:22:00Z,"(np.float64(20.281544663812745), np.float64(21.080291731765858), np.float64(21.868371687917403), np.float64(22.640741943700334), np.float64(23.39171917880797), np.float64(24.11500226261786), np.float64(24.803729945928776), np.float64(25.45057996258212), np.float64(26.04791440041058), np.float64(26.587973058153324), np.float64(27.063111958779654), np.float64(27.46607849528179), np.float64(27.790308473478188), np.float64(28.030224587359484), np.float64(28.18151184777887), np.float64(28.241344374147417), np.float64(28.208540537346995), np.float64(28.08362976938068), np.float64(27.868823612680334), np.float64(27.5678941958155), np.float64(27.185973354502902), np.float64(26.72929328535023), np.float64(26.20489376662764), np.float64(25.620321309362044), np.float64(24.983342635182062), np.float64(24.301689684919786), np.float64(23.5828471986514), np.float64(22.833887894698698), np.float64(22.061355201672903), np.float64(21.271189767594272), np.float64(20.468693651117235))",197052.91499761678
7,Station2,2025-02-12T11:57:00Z,2025-02-12T12:04:40Z,"(np.float64(20.13301254510178), np.float64(21.444582890032933), np.float64(22.8261383908814), np.float64(24.284256770523204), np.float64(25.826189231799223), np.float64(27.4599036782863), np.float64(29.194113955722436), np.float64(31.038284484966326), np.float64(33.002594535229804), np.float64(35.09783912612905), np.float64(37.33523333999707), np.float64(39.726072557996666), np.float64(42.281181169252235), np.float64(45.010053968993034), np.float64(47.919552694116454), np.float64(51.011954048587164), np.float64(54.28202986790414), np.float64(57.71261478027554), np.float64(61.267642286313425), np.float64(64.88060688706804), np.float64(68.43435465366544), np.float64(71.725312488454), np.float64(74.41007364077107), np.float64(75.98642378412822), np.float64(75.99392687524659), np.float64(74.42882711257387), np.float64(71.74794722838158), np.float64(68.45457266776067), np.float64(64.89414537652053), np.float64(61.271831767074005), np.float64(57.7059020254657), np.float64(54.26364784491974), np.float64(50.98169182210216), np.float64(47.87758527233613), np.float64(44.95681295456593), np.float64(42.217256938565825), np.float64(39.652142029817), np.float64(37.25200839485547), np.float64(35.00603123149599), np.float64(32.902891668581475), np.float64(30.93133708165936), np.float64(29.08052726769885), np.float64(27.340234538195823), np.float64(25.70094573541068), np.float64(24.153899805758776), np.float64(22.691084261386383), np.float64(21.305206518370564))",917207.696245869
8,Station2,2025-02-12T13:39:20Z,2025-02-12T13:42:50Z,"(np.float64(20.504469590275757), np.float64(21.07170363211969), np.float64(21.601811954584683), np.float64(22.089410161617945), np.float64(22.529124562213905), np.float64(22.91574142553547), np.float64(23.2443718061701), np.float64(23.510623628108174), np.float64(23.710770496999096), np.float64(23.841905347200694), np.float64(23.902066912365388), np.float64(23.890328360628654), np.float64(23.806840233983717), np.float64(23.652823768414805), np.float64(23.430515197737613), np.float64(23.143066080069172), np.float64(22.794408371288554), np.float64(22.38909541037628), np.float64(21.9321309418965), np.float64(21.4287978276413), np.float64(20.884496470006212), np.float64(20.30460059775018))",109191.47892827599
9,Station2,2025-02-12T20:14:00Z,2025-02-12T20:18:40Z,"(np.float64(20.574362882376697), np.float64(21.372339376248803), np.float64(22.154493180425835), np.float64(22.914997990251635), np.float64(23.647386544328842), np.float64(24.344611493160258), np.float64(24.99915020534555), np.float64(25.603158616676573), np.float64(26.148675778403085), np.float64(26.627875790873514), np.float64(27.033357619431257), np.float64(27.35845660128482), np.float64(27.597555386548486), np.float64(27.746367973413985), np.float64(27.802169673737705), np.float64(27.763949073894537), np.float64(27.632465296649247), np.float64(27.410204111956162), np.float64(27.101237886563936), np.float64(26.711004871519563), np.float64(26.246031028950938), np.float64(25.71362136646096), np.float64(25.12154741652452), np.float64(24.477753772059298), np.float64(23.790100705710916), np.float64(23.066153228315518), np.float64(22.313020645004926), np.float64(21.537245520958702), np.float64(20.744737323366763))",181787.18687392498
